PublishYear,afr,ang,ara,cat,chp,elx,en-CA,en-GB,en-US,eng,enm,fil,fin,fre,frm,frs,ger,gla,gle,glg,grc,gre,guj,heb,hin,hun,hye,ind,ita,jpn,kor,lao,lat,lit,msa,mul,myn,nav,nl,nor,per,pol,por,raj,rus,sco,scr,spa,srp,swe,tam,tgl,tha,tlh,tur,urd,wak,wel,ypk,zho
1948.0,,,,,,,,,,3.914285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949.0,,,,,,,,4.05,3.5949999999999998,3.858571428571429,,,,3.785,,,,,,,,,,,,,,,,,,,,,,4.67,,,,,,,,,,,,,,,,,,,,,,,,
1950.0,,,,,,,,,3.5,3.5321428571428575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951.0,,,,,,,,,,4.06625,,,,,,,,,,,,,,,,,,,,,,,,,,4.67,,,,,,,,,,,,,,,,,,,,,,,,
1952.0,,,,,,,,,3.986666666666667,3.8512500000000003,,,,4.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5700000000000003,,,,,,,,,,,,
1953.0,,,,,,,,3.74,3.7800000000000002,3.8955555555555557,,,,3.7300000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954.0,,,,,,,,,,3.904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955.0,,,,,,,,4.03,3.97,3.9646153846153847,,,,3.81,,,,,,,,,,,,,,,,,,,4.06,,,4.32,,,,,,,,,,,,,,,,,,,,,,,,
1956.0,,,,,,,,4.07,4.0,3.7023529411764704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957.0,,,,,,,,,4.06,3.896153846153846,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958.0,,,,,,,,3.37,3.8633333333333333,3.927142857142857,,,,,,,,,,,,,,,,,,,,,,,3.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959.0,,,,,,,,3.7,4.105,4.024,,,,4.035,,,,,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960.0,,,,,,,,,3.9749999999999996,4.0632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961.0,,,,,,,,3.96,3.85,4.061999999999999,,,,0.0,,,,,,,,,,,,,,,,,,,,,,4.39,,,,,,,,,,,,,,,,,,,,,,,,
1962.0,,,,,,,,,3.95,3.6388,,,,4.4,,,3.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963.0,,,,,,,,3.76,4.11,3.871282051282051,3.77,,,0.0,,,3.9233333333333333,,,,4.57,,,,,,,,,,,,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964.0,,,,,,,,,4.06,3.925957446808511,,,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,3.81,,,,,,,,,,,,,,,,,,,
1965.0,,,,,,,,3.7,4.005,3.934390243902439,,,,,,,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966.0,,,,,,,,4.13,4.136666666666667,3.987878787878788,,,,3.6166666666666667,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967.0,,,,,,,,4.02,4.029999999999999,3.6953061224489794,,,,3.5700000000000003,,,,,,,4.18,,,,,,,,,,,,,,,4.18,,,,,,,,,,,,,,,,,,,,,,,,
1968.0,,,,,,,,3.76,4.1,3.893913043478261,,,,4.64,,,3.74,,,,3.79,,,,,,,,,,,,,,,,,,,,,,,,4.16,,,3.9699999999999998,,,,,,,,,,,,
