PublishYearMonth,Rating
1958.0-3.0,4.09
1958.0-4.0,3.8625
1958.0-5.0,4.38
1958.0-6.0,3.921111111111111
1958.0-7.0,4.0
1958.0-8.0,0.0
1958.0-9.0,3.83
1959.0-1.0,3.869090909090909
1959.0-10.0,3.6616666666666666
1959.0-11.0,4.156666666666666
1959.0-12.0,3.475
1959.0-2.0,3.8533333333333335
1959.0-3.0,4.0
1959.0-4.0,3.465
1959.0-5.0,3.86
1959.0-6.0,3.0833333333333335
1959.0-7.0,3.6633333333333336
1959.0-8.0,2.793333333333333
1959.0-9.0,4.098888888888889
1960.0-1.0,3.66421052631579
1960.0-10.0,3.8475
1960.0-11.0,3.643333333333333
1960.0-12.0,3.6509090909090904
1960.0-2.0,4.2
1960.0-3.0,2.7866666666666666
1960.0-4.0,4.185
1960.0-5.0,3.5366666666666666
1960.0-6.0,4.060588235294118
1960.0-7.0,4.005
1960.0-8.0,3.6519999999999997
1960.0-9.0,3.9475000000000002
1961.0-1.0,3.0704166666666666
1961.0-10.0,3.3528571428571428
1961.0-11.0,3.6659999999999995
1961.0-12.0,3.5535000000000005
1961.0-2.0,3.983333333333333
1961.0-3.0,4.126666666666666
1961.0-4.0,3.6550000000000002
1961.0-5.0,3.983333333333333
1961.0-6.0,3.4454545454545453
1961.0-7.0,3.85
1961.0-8.0,4.215999999999999
1961.0-9.0,3.68
1962.0-1.0,3.4674074074074075
1962.0-10.0,4.218
1962.0-11.0,3.975
1962.0-12.0,3.9992857142857146
1962.0-2.0,3.975
1962.0-3.0,3.9599999999999995
1962.0-4.0,3.5
1962.0-5.0,2.86
1962.0-6.0,3.1314285714285717
1962.0-7.0,2.555
1962.0-8.0,3.9974999999999996
1962.0-9.0,3.3414285714285716
1963.0-1.0,3.599354838709677
1963.0-10.0,3.8329999999999997
1963.0-11.0,3.985555555555556
1963.0-12.0,3.6904347826086954
1963.0-2.0,3.902
1963.0-3.0,3.9579999999999997
1963.0-4.0,3.968
1963.0-5.0,3.696
1963.0-6.0,3.3083333333333336
1963.0-8.0,3.9
1963.0-9.0,3.5450000000000004
1964.0-1.0,3.334857142857143
1964.0-10.0,3.9240000000000004
1964.0-11.0,3.64
1964.0-12.0,3.3341176470588234
1964.0-2.0,3.8633333333333333
1964.0-3.0,3.499166666666667
1964.0-4.0,2.105
1964.0-5.0,3.2733333333333334
1964.0-6.0,3.278461538461538
1964.0-7.0,3.795
1964.0-8.0,3.806
1964.0-9.0,4.073333333333333
1965.0-1.0,3.8034482758620687
1965.0-10.0,3.5980000000000003
1965.0-11.0,3.92375
1965.0-12.0,3.658636363636364
1965.0-2.0,3.811666666666667
1965.0-3.0,3.3579999999999997
1965.0-4.0,3.6163636363636367
1965.0-5.0,3.8066666666666666
1965.0-6.0,3.6616666666666666
1965.0-7.0,2.82
1965.0-8.0,3.4514285714285715
1965.0-9.0,4.128125
1966.0-1.0,3.153448275862069
1966.0-10.0,3.73625
1966.0-11.0,3.0975
1966.0-12.0,3.791875
1966.0-2.0,4.114545454545454
1966.0-3.0,3.923333333333334
1966.0-4.0,3.2427272727272727
1966.0-5.0,4.12
1966.0-6.0,3.688888888888889
1966.0-7.0,3.5149999999999997
1966.0-8.0,4.0600000000000005
1966.0-9.0,3.5699999999999994
1967.0-1.0,3.5911904761904756
1967.0-10.0,3.135263157894737
1967.0-11.0,3.877272727272727
1967.0-12.0,3.2871428571428574
1967.0-2.0,2.8892307692307693
1967.0-3.0,4.042
1967.0-4.0,3.2659999999999996
1967.0-5.0,3.1144444444444446
1967.0-6.0,3.8778571428571427
1967.0-7.0,2.816153846153846
1967.0-8.0,3.4728571428571433
1967.0-9.0,3.086
1968.0-1.0,3.235357142857143
1968.0-10.0,3.313636363636364
1968.0-11.0,3.835714285714286
1968.0-12.0,3.248214285714286
1968.0-2.0,3.375
1968.0-3.0,3.553076923076923
1968.0-4.0,3.795
1968.0-5.0,3.8322222222222226
1968.0-6.0,3.2764705882352945
1968.0-7.0,3.224285714285714
1968.0-8.0,3.983333333333333
1968.0-9.0,3.652142857142857
1969.0-1.0,2.781015625
1969.0-10.0,3.7126923076923077
1969.0-11.0,2.9253333333333336
1969.0-12.0,2.9491954022988502
1969.0-2.0,3.2408333333333332
1969.0-3.0,3.507857142857143
1969.0-4.0,3.6650000000000005
1969.0-5.0,3.136923076923077
1969.0-6.0,3.6815151515151516
1969.0-7.0,2.9275
1969.0-8.0,3.075
1969.0-9.0,3.67
1970.0-1.0,2.7740322580645165
1970.0-10.0,3.4341666666666666
1970.0-11.0,3.097857142857143
1970.0-12.0,3.0322388059701493
1970.0-2.0,3.6462962962962964
1970.0-3.0,3.4416
1970.0-4.0,3.1176470588235294
1970.0-5.0,3.1511764705882355
1970.0-6.0,3.0959999999999996
1970.0-7.0,2.564
1970.0-8.0,3.56
1970.0-9.0,4.004166666666666
1971.0-1.0,2.7965887850467293
1971.0-10.0,3.302222222222222
1971.0-11.0,2.64
1971.0-12.0,3.0565306122448983
1971.0-2.0,3.341
1971.0-3.0,3.3875
1971.0-4.0,3.0595
1971.0-5.0,3.9825
1971.0-6.0,3.6066666666666665
1971.0-7.0,3.2816666666666667
1971.0-8.0,3.5025
1971.0-9.0,3.408
1972.0-1.0,2.8359375
1972.0-10.0,3.5863333333333336
1972.0-11.0,3.0869230769230773
1972.0-12.0,3.165531914893617
1972.0-2.0,3.1816666666666666
1972.0-3.0,3.5710344827586207
1972.0-4.0,3.1168181818181817
1972.0-5.0,3.4175
1972.0-6.0,3.6151162790697673
1972.0-7.0,3.7044
1972.0-8.0,3.5628571428571427
1972.0-9.0,3.6075999999999997
1973.0-1.0,3.000496453900709
1973.0-10.0,3.5436666666666667
1973.0-11.0,3.4426666666666668
1973.0-12.0,3.0833333333333335
1973.0-2.0,2.7559259259259257
1973.0-3.0,3.4709999999999996
1973.0-4.0,3.683793103448276
1973.0-5.0,3.603
1973.0-6.0,3.313272727272727
1973.0-7.0,2.2656521739130433
1973.0-8.0,3.720740740740741
1973.0-9.0,3.6735897435897438
1974.0-1.0,2.698976109215017
1974.0-10.0,3.645263157894737
1974.0-11.0,3.512083333333333
1974.0-12.0,3.104954954954955
1974.0-2.0,3.4466666666666668
1974.0-3.0,3.75
1974.0-4.0,3.7158333333333338
1974.0-5.0,3.4148387096774195
1974.0-6.0,3.372888888888889
1974.0-7.0,3.6614285714285715
1974.0-8.0,3.258846153846154
1974.0-9.0,2.973235294117647
1975.0-1.0,3.00801749271137
1975.0-10.0,3.715952380952381
1975.0-11.0,3.2746153846153843
1975.0-12.0,3.029217391304348
1975.0-2.0,3.073076923076923
1975.0-3.0,3.5142307692307693
1975.0-4.0,3.129375
1975.0-5.0,3.6
1975.0-6.0,3.108125
1975.0-7.0,3.5907142857142857
1975.0-8.0,3.3434146341463418
1975.0-9.0,3.4988
1976.0-1.0,2.9635714285714285
1976.0-10.0,3.3882
1976.0-11.0,3.5218000000000003
1976.0-12.0,2.8875510204081634
1976.0-2.0,3.128536585365854
1976.0-3.0,3.423720930232558
1976.0-4.0,3.1876923076923074
1976.0-5.0,2.9997727272727275
1976.0-6.0,3.4771621621621622
1976.0-7.0,3.6012121212121215
1976.0-8.0,3.2920454545454545
1976.0-9.0,3.664814814814815
1977.0-1.0,2.7438292011019283
1977.0-10.0,3.6920588235294116
1977.0-11.0,3.5405769230769226
1977.0-12.0,2.9035761589403974
1977.0-2.0,3.6791891891891892
1977.0-3.0,3.221
1977.0-4.0,2.934418604651163
